Node                                                                              | Description                                                                                                        | Type   | Player default | OP default     | Variants                                                                                                                                    
command.hydroenergy.helistcontrollers                           | /helistcontrollers                     | Strong OP          | /helistcontrollers                                                                                                                                                                                                                                                                                                                                                                                                                                                               
command.hydroenergy.hesetwater                                  | /hesetwater                            | Strong OP          | /hesetwater <controllerId> <waterLevel>                                                                                                                                                                                                                                                                                                                                                                                                                                          
command.IC2.ic2                                                 | /ic2                                   | Strong OP          | /ic2 uu-world-scan <small|medium|large> | debug (dumpUuValues | resolveIngredient <name> | dumpTextures <name> <size> | dumpLargeGrids)                                                                                                                                                                                                                                                                                                                                          
command.IC2.tps                                                 | /tps                                   | Strong OP          | /tps                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
command.IguanaTweaksTConstruct.dumpOredict                      | /dumpOredict                           | OP                 | /dumpOredict                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
command.IguanaTweaksTConstruct.dumpTools                        | /dumpTools                             | Strong OP          | /dumpTools                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
command.IguanaTweaksTConstruct.imadirtycheater                  | /imadirtycheater                       | ALL                | Why are you saying that you're a dirty cheater?                                                                                                                                                                                                                                                                                                                                                                                                                                  
command.IguanaTweaksTConstruct.leveluptool                      | /leveluptool                           | OP                 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
command.IguanaTweaksTConstruct.toolxp                           | /toolxp                                | OP                 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
command.InfernalMobs.feclass                                    | /feclass                               | OP                 | /feclass X returns all currently registered Entities containing X in their classname's                                                                                                                                                                                                                                                                                                                                                                                           
command.InfernalMobs.spawninfernal                              | /spawninfernal                         | OP                 | /spawninfernal x y z ENTCLASS X spawns an Infernal Mob of class ENTCLASS at x, y, z with Modifiers X (or random Modifiers if X is ~)                                                                                                                                                                                                                                                                                                                                             
command.inpure|core.INpureCore                                  | /INpureCore                            | Strong OP          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
command.kill                                                    | /kill                                  | ALL                | /kill                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
command.kubatech.kubatech                                       | /kubatech                              | Strong OP          | kubatech <option>                                                                                                                                                                                                                                                                                                                                                                                                                                                                
command.LogisticsPipes.logisticspipes                           | /logisticspipes                        | Strong OP          | /logisticspipes help                                                                                                                                                                                                                                                                                                                                                                                                                                                             
command.lootgames.lootgames                                     | /lootgames                             | Strong OP          | Use '/lootgames help' to see available subcommands                                                                                                                                                                                                                                                                                                                                                                                                                               
command.lootgames.lootgamesprofiler                             | /lootgamesprofiler                     | Strong OP          | lootgamesprofiler                                                                                                                                                                                                                                                                                                                                                                                                                                                                
command.me                                                      | /me                                    | ALL                | /me <...>                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
command.MineTweaker3.minetweaker                                | /minetweaker                           | Strong OP          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
command.miscutils.alkalus                                       | /alkalus                               | Strong OP          | /alkalus [Dev Command]                                                                                                                                                                                                                                                                                                                                                                                                                                                           
command.miscutils.DumpAspects                                   | /DumpAspects                           | Strong OP          | /DumpAspects                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
command.miscutils.gtpp                                          | /gtpp                                  | Strong OP          | /gtpp ?                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
command.mobsinfo.mobsinfo                                       | /mobsinfo                              | Strong OP          | mobsinfo <option>                                                                                                                                                                                                                                                                                                                                                                                                                                                                
command.nutrition.nutrition                                     | /nutrition                             | OP                 | /nutrition <get/set/add/subtract/reset/reload> <player> <nutrient> <value>                                                                                                                                                                                                                                                                                                                                                                                                       
command.OpenBlocks.flimflam                                     | /flimflam                              | Strong OP          | flimflam <player> [<effect>]                                                                                                                                                                                                                                                                                                                                                                                                                                                     
command.OpenBlocks.luck                                         | /luck                                  | Strong OP          | luck <player> [<amount>]                                                                                                                                                                                                                                                                                                                                                                                                                                                         
command.OpenBlocks.ob_inventory                                 | /ob_inventory                          | Strong OP          | ob_inventory store <player> OR ob_inventory restore <player> <file without 'inventory-' and '.dat'> OR ob_inventory spawn <file without 'inventory-' and '.dat'> [<sub_inventory OR 'main'>,  [<index of item>]]                                                                                                                                                                                                                                                                 
command.OpenComputers.oc_debugNanomachines                      | /oc_debugNanomachines                  | OP                 | oc_debugNanomachines                                                                                                                                                                                                                                                                                                                                                                                                                                                             
command.OpenComputers.oc_debugWhitelist                         | /oc_debugWhitelist                     | ALL                | oc_debugWhitelist [revoke|add|remove] <player> OR oc_debugWhitelist [revoke|list]                                                                                                                                                                                                                                                                                                                                                                                                
command.OpenComputers.oc_nanomachines                           | /oc_nanomachines                       | OP                 | oc_nanomachines [player]                                                                                                                                                                                                                                                                                                                                                                                                                                                         
command.OpenComputers.oc_preventDisassembling                   | /oc_preventDisassembling               | OP                 | oc_preventDisassembling <boolean>                                                                                                                                                                                                                                                                                                                                                                                                                                                
command.OpenComputers.oc_profileNetwork                         | /oc_profileNetwork                     | Strong OP          | oc_profileNetwork <boolean>                                                                                                                                                                                                                                                                                                                                                                                                                                                      
command.OpenComputers.oc_renderWirelessNetwork                  | /oc_renderWirelessNetwork              | OP                 | oc_renderWirelessNetwork <boolean>                                                                                                                                                                                                                                                                                                                                                                                                                                               
command.OpenComputers.oc_sendDebugMessage                       | /oc_sendDebugMessage                   | OP                 | oc_sendDebugMessage<destinationAddress> [message...]                                                                                                                                                                                                                                                                                                                                                                                                                             
command.OpenComputers.oc_spawnComputer                          | /oc_spawnComputer                      | OP                 | oc_spawnComputer                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
command.OpenMods.om_config_s                                    | /om_config_s                           | Strong OP          | om_config_s save <modid> OR
om_config_s help <modid> <category> <name> OR
om_config_s get <modid> <category> <name> OR
om_config_s clear <modid> <category> <name> OR
om_config_s set <modid> <category> <name> <value>... OR
om_config_s append <modid> <category> <name> <value>... OR
om_config_s remove <modid> <category> <name> <value>... OR
om_config_s default <modid> <category> <name> <value>... OR
                                                                 
command.OpenMods.om_source_s                                    | /om_source_s                           | Strong OP          | om_source_s class <class name>                                                                                                                                                                                                                                                                                                                                                                                                                                                   
command.openmodularturrets.omtchangeowner                       | /omtchangeowner                        | Strong OP          | <dimension> <x> <y> <z> <new owner>                                                                                                                                                                                                                                                                                                                                                                                                                                              
command.Opis.opis                                               | /opis                                  | ALL                |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
command.Opis.opis_addpriv                                       | /opis_addpriv                          | Strong OP          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
command.Opis.opis_chunk                                         | /opis_chunk                            | ALL                |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
command.Opis.opis_delay                                         | /opis_delay                            | Strong OP          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
command.Opis.opis_ent                                           | /opis_ent                              | ALL                |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
command.Opis.opis_enttrace                                      | /opis_enttrace                         | Strong OP          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
command.Opis.opis_help                                          | /opis_help                             | Strong OP          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
command.Opis.opis_kill                                          | /opis_kill                             | Strong OP          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
command.Opis.opis_killall                                       | /opis_killall                          | Strong OP          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
command.Opis.opis_nent                                          | /opis_nent                             | ALL                |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
command.Opis.opis_reset                                         | /opis_reset                            | Strong OP          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
command.Opis.opis_rmpriv                                        | /opis_rmpriv                           | Strong OP          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
command.Opis.opis_start                                         | /opis_start                            | ALL                |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
command.Opis.opis_stop                                          | /opis_stop                             | Strong OP          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
command.Opis.opis_te                                            | /opis_te                               | ALL                |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
command.Opis.opis_ticks                                         | /opis_ticks                            | Strong OP          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
command.personalspace.pspace                                    | /pspace                                | OP                 | /pspace (give-portal player DIM [X] [Y] [Z])|(tpx player DIM [X Y Z])|(ls)|(where player)|(allow-worldgen-change DIM)                                                                                                                                                                                                                                                                                                                                                            
command.playsound                                               | /playsound                             | OP                 | /playsound <sound> <player> [x] [y] [z] [volume] [pitch] [minimumVolume]                                                                                                                                                                                                                                                                                                                                                                                                         
command.publish                                                 | /publish                               | Strong OP          | /publish                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
command.Railcraft.railcraft                                     | /railcraft                             | ALL                | /railcraft help                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
command.RandomThings.exitspectre                                | /exitspectre                           | ALL                | /exitspectre                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
command.RandomThings.randomthings                               | /randomthings                          | Strong OP          | randomthings <command>                                                                                                                                                                                                                                                                                                                                                                                                                                                           
command.Roguelike.roguelike                                     | /roguelike                             | OP                 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
command.say                                                     | /say                                   | OP                 | /say <message ...>                                                                                                                                                                                                                                                                                                                                                                                                                                                               
command.Schematica.schematicaList                               | /schematicaList                        | ALL                | /schematicaList [page]                                                                                                                                                                                                                                                                                                                                                                                                                                                           
command.Schematica.schematicaRemove                             | /schematicaRemove                      | ALL                | /schematicaRemove <name>                                                                                                                                                                                                                                                                                                                                                                                                                                                         
command.Schematica.schematicaSave                               | /schematicaSave                        | ALL                | /schematicaSave <startX> <startY> <startZ> <endX> <endY> <endZ> <name>                                                                                                                                                                                                                                                                                                                                                                                                           
command.scoreboard                                              | /scoreboard                            | OP                 | /scoreboard <objectives|players|teams>                                                                                                                                                                                                                                                                                                                                                                                                                                           
command.seed                                                    | /seed                                  | OP                 | /seed                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
command.serverutilities.back                                    | /back                                  | ALL                | /back                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
command.serverutilities.backup.getsize                          | /getsize                               | OP                 | /backup getsize                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
command.serverutilities.backup.start                            | /start                                 | OP                 | /backup start <file name>                                                                                                                                                                                                                                                                                                                                                                                                                                                        
command.serverutilities.backup.stop                             | /stop                                  | OP                 | /backup stop                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
command.serverutilities.chunks.claim                            | /claim                                 | ALL                | /chunks claim                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
command.serverutilities.chunks.claim_as                         | /claim_as                              | OP                 | /chunks claim_as <server team> [radius in chunks]                                                                                                                                                                                                                                                                                                                                                                                                                                
command.serverutilities.chunks.help                             | /help                                  | ALL                | /bloodmagic help                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
command.serverutilities.chunks.info                             | /info                                  | ALL                | /chunks info                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
command.serverutilities.chunks.load                             | /load                                  | ALL                | /chunks load                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
